case_id,candidate,judge,sample,parse_ok,conflict_insight,market_read_accuracy,strategy_direction,target_portrait_match,persona_read,logic_depth,insight_nonobviousness,risk_anti_pattern,actionability,A_avg,B_avg,overall,comment
鳌烨105,student_skill,gemini-3.1-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.75,4.889,分析极具深度，'资源被三个孩子稀释'的对价缺口洞察超越了专家，唯落地建议欠缺'提升外形'和'挽回被拒男'等一针见血的具体操作。
鳌烨105,student_skill,deepseek-v4-pro,0,True,5.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,3.8,4.25,4.0,理想对象画像误将'原生家庭三个孩子'理解为'她有三个孩子'，严重偏离事实；策略未包含挽回西安有房男的具体行动，行动建议落地性不足。
鳌烨119,student_skill,gpt-5.5,0,True,3.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.5,3.222,主要差距在于把问题重心转成“硬件定位/同频求稳”与“形象兑现”，弱化甚至偏离了专家强调的“物质掌控力强但情感细腻度不足、需降低谈判感并增加情感投入”的核心判断。
鳌烨119,student_skill,gemini-3.1-pro,0,True,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.6,1.5,1.556,待评分析严重脱离输入事实（将‘奋斗’错判为‘无上进’，无视‘离异’编造‘久单’），逻辑生搬硬套且出现常识错误（如35岁性别婚恋折价完全说反），策略与专家建议背道而驰。
鳌烨119,student_skill,deepseek-v4-pro,0,True,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,3.8,4.75,4.222,策略方向与专家相反（专家建议互补情绪价值，待评建议同质求稳）
鳌烨108,student_skill,gpt-5.5,0,True,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.8,3.25,3.0,主要差距在于把核心问题从“高资源但审计眼光混乱、易被破碎感女性收割”偏移成“向上攀附失败”，且明显低估了其在杭州市场的顶级标的属性。
鳌烨108,student_skill,gemini-3.1-pro,0,True,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.2,1.5,1.889,生搬硬套模板，出现'26岁女性'的严重套词或幻觉谬误，且完全错失'温室花朵+救赎者心态'极易被边缘女性收割的致命风险，分析浮于表面。
鳌烨108,student_skill,deepseek-v4-pro,0,True,3.0,2.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,3.2,4.75,3.889,未命中专家强调的“审计眼光混乱/易被破碎感女性吸引”，且误判杭州市场为普通精英，低估其本地顶级标的属性。
鳌烨117,student_skill,gpt-5.5,0,True,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,3.778,主要差距在于过度强调软资产修复和形象改造，低估了专家参考中“高薪绩优股”定位及二线城市首付硬资本的优先级。
鳌烨117,student_skill,gemini-3.1-pro,0,True,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.6,2.5,3.111,准确抓住了男方情绪供给差的软肋，但部分内容生搬硬套模板（如对无房男套用‘怕被图钱’焦虑、建议31岁理工男‘撒娇’），且完全漏掉专家强调的‘买房首付’这一核心硬策略。
鳌烨117,student_skill,deepseek-v4-pro,0,True,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,4.556,策略方向未涵盖专家优先的“解决房产首付”硬资本建设，反而建议先收牌增值避战，构成核心分歧。
鳌烨104,student_skill,gpt-5.5,0,True,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.2,3.75,3.444,主要差距在于策略和对象画像偏离参考：专家强调立即停止相亲、防止婚姻成为二次剥削，而待评仍建议同质圈层择偶甚至让对象分担家庭压力。
鳌烨104,student_skill,gemini-3.1-pro,0,True,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.2,1.0,1.667,分析严重依赖生硬套话，提出3个月收入跃迁等极不现实的建议；完全未识别‘婚姻成为二次剥削’的核心风险，反而幻想找对象分担原生家庭压力，与专家警告背道而驰。
鳌烨104,student_skill,deepseek-v4-pro,0,True,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.8,4.5,4.111,未命中剥削风险与逃避幻想，性格解读缺自卑敏感，矛盾定位弱化个人奋斗成果的正向价值。
鳌烨124,student_skill,gpt-5.5,0,True,2.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.8,4.0,3.889,主要差距在于把核心矛盾从“优质硬件 vs 压迫性婆媳/家庭干预风险”偏移成“人群错配”，且策略上弱化了剥离母亲干预这一关键方向。
鳌烨124,student_skill,gemini-3.1-pro,0,True,2.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,3.6,3.0,3.333,准确描绘了顺从型人物及其目标画像，但较多使用黑话套话，淡化了强势母权带来的'高风险婆媳压迫'这一核心矛盾与市场减分项，策略缺乏破局深度。
鳌烨124,student_skill,deepseek-v4-pro,0,True,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,4.556,核心矛盾识别偏差，未命中专家所强调的“物质优渥与压迫性婆媳预期”的冲突，转向了内部匹配问题。
鳌烨125,student_skill,gpt-5.5,0,True,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,主要差距在于理想对象画像未精确落到专家所说的35+、沉稳、有积蓄且可接受负担的离异/未婚男性，并且部分市场判断加入了一线户口等输入中没有的事实。
鳌烨125,student_skill,gemini-3.1-pro,0,True,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.2,4.5,4.333,分析提出了课题分离与战略透明等优秀洞察，但建议‘3-6个月搞钱’脱离实际，且目标画像保留了‘家境中上且给彩礼’的幻想，未能像专家一样果断劝退其不切实际的经济诉求。
鳌烨125,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.8,5.0,4.889,persona_read将需求过度演绎为“幻想被高位男供养”，与输入资料的本义略有偏差，其余维度均精准甚至超越专家深度。
鳌烨135,student_skill,gpt-5.5,0,True,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.2,3.75,4.0,整体命中暂停入场、先增值和原生家庭拖累的主轴，但略把B收入/本科学历泛化为硬伤，且未充分点透“图其能干的收割者/二次剥削”这一关键风险。
鳌烨135,student_skill,gemini-3.1-pro,0,True,5.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,4.4,4.0,4.222,逻辑与心理剖析出色，但漏掉专家指出的‘极易被二次剥削收割’这一致命风险，且建议寻找‘同质草根’存在引发双重家庭黑洞碰撞的隐患。
鳌烨135,student_skill,deepseek-v4-pro,0,True,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.2,4.5,4.333,主要差距在于对性格深层动机的穿透力（未点出'自卑敏感'和'逃避幻想'的内核）以及市场风险定性略显温和（缺'易受剥削'的强警示），但策略结构和可操作性非常出色。
鳌烨126,student_skill,gpt-5.5,0,True,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.4,4.0,3.667,主要差距是把矛盾过度收窄为“事业助力与家庭照顾二选一”，弱化了专家强调的高风险事业野心与家庭稳定需求的结构冲突，以及坦诚财务风险和隔离机制这一关键策略。
鳌烨126,student_skill,gemini-3.1-pro,0,True,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.6,2.25,2.444,严重误读客户'或'的诉求为'既要又要'导致矛盾全盘误判，通篇堆砌生硬的相亲黑话与表面标签，完全遗漏了高资产高负债人群极其关键的财务隔离风险与战略。
鳌烨126,student_skill,deepseek-v4-pro,0,True,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.444,Persona未抓住猎人/高自尊本质，核心矛盾侧重择偶要求互斥而未直指事业野心与家庭稳定性的内在根源。
鳌烨129,student_skill,gpt-5.5,0,True,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.444,主要差距在于策略和对象画像明显偏离专家：待评把方向改成同龄务实男共同还债，而专家强调应找经济极雄厚且性格宽厚的年长男性，同时保留尊严并警惕PUA。
鳌烨129,student_skill,gemini-3.1-pro,0,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.2,1.5,1.333,分析严重脱离人物绝境求生、无年龄要求的核心诉求，生搬硬套'颜控'等错误标签，且让同龄普通男生'共同还债'的建议完全违背常理。
鳌烨129,student_skill,deepseek-v4-pro,0,True,4.0,3.0,1.0,1.0,3.0,4.0,2.0,5.0,5.0,2.4,4.0,3.111,策略方向与专家根本对立，误判为无法吸引庇护者而建议降级找务实男，忽略了颜值杠杆可匹配宽厚高净值对象的可能性。
鳌烨139,student_skill,gpt-5.5,0,True,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.4,3.5,2.889,主要差距是把案例核心从“高人格张力需要稳定伴侣对冲”误转成“筹码不足、用外形换生产者”，因此市场估值偏低、策略也偏离专家的稳定务实男方向。
鳌烨139,student_skill,gemini-3.1-pro,0,True,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,2.5,2.778,待评分析严重依赖生硬的'价值交换'模板，提出'半年攒首付'等脱离实际的建议且逻辑自相矛盾（找稳定却去创意圈），忽视了互补对冲的核心策略，唯一亮点是精准识别了'电子宠物'的短择风险。
鳌烨139,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,4.778,理想对象圈层定位与专家推荐的体制内/大厂稳定男不一致，转向同质创意圈层有风险
鳌烨147,student_skill,gpt-5.5,0,True,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.4,3.75,3.556,主要差距在于把她从专家所说的“顶级但成交面窄”偏读成需明显降配兑现的对象，策略和对象画像也弱化了“高净值、精英行业/海归男性”这一核心匹配点。
鳌烨147,student_skill,gemini-3.1-pro,0,True,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.8,3.5,3.667,核心矛盾与心理分析较准确，但策略与逻辑链中出现了‘减重、置换穿搭’等严重脱离目标‘颜值高、气质优雅’事实的模板化幻觉，削弱了整体逻辑自洽度与建议的有效性。
鳌烨147,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,待评分析在准确命中专家核心判断的同时，大幅提升了策略的颗粒度与可操作性，无明显偏差。
鳌烨136,student_skill,gpt-5.5,0,True,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.4,4.0,4.222,整体命中照骗与形象兑现问题，但略过度转向目标错配/高配人设，未充分点出专家强调的视觉信用破产、见面羞辱感与信任瞬间崩塌。
鳌烨136,student_skill,gemini-3.1-pro,0,True,3.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.556,分析抓住了停止美颜的表层策略，但未能洞察‘信任破产’与‘小城市相亲体面度’的深层逻辑，且臆想了男方‘要求高知高颜值’的条件，逻辑链部分存在明显语病与重复。
鳌烨136,student_skill,deepseek-v4-pro,0,True,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.6,4.25,4.444,核心矛盾未明确提炼为“视觉诚信危机+信任崩塌”，而偏向期望错配，persona未直指“信任缺失”深层损伤。
鳌烨141,student_skill,gpt-5.5,0,True,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.2,3.75,3.444,主要差距在于把久单过度归因于软资产/恋人属性，偏离专家强调的“高品味执念导致成交面极窄”，且策略没有落实到放下外部品味标签、转向务实稳定男性。
鳌烨141,student_skill,gemini-3.1-pro,0,True,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.6,2.5,2.556,严重依赖固定套路模板（如生硬建议独立女性‘练撒娇’），在核心策略上与专家‘寻找务实男性’完全背道而驰，错失了关于‘品味与生存力量’的深刻洞察。
鳌烨141,student_skill,deepseek-v4-pro,0,True,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.444,策略方向与专家建议存在分歧：专家建议放下品味执念找务实男性，而待评维持同等审美要求。
鳌烨137,student_skill,gpt-5.5,0,True,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.4,3.5,3.444,主要差距在于过度引入“守财型躺平男/精英圈层互斥”等缺乏事实支撑的判断，且未抓住她“个人化表达但渴望中式家庭安全感”的深层心理结构。
鳌烨137,student_skill,gemini-3.1-pro,0,True,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.0,3.222,分析过度堆砌‘守财型躺平’等缺乏依据的生造概念，且建议‘降低文身审查’与专家‘将文身作为绝佳筛选器’的核心高阶策略完全背道而驰。
鳌烨137,student_skill,deepseek-v4-pro,0,True,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.2,4.25,4.222,待评误读性格为“认知不清”，与专家“认知清晰”相左；降低文身审查动作与专家“用文身筛选、不讨好”策略微悖。
鳌烨130,student_skill,gpt-5.5,0,True,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.6,4.0,3.778,主要差距是把案例过度交易化为“软资产换上嫁/高位女性议价权”，对其体验驱动、自由主义和情感市场顶流的核心气质捕捉不够精准。
鳌烨130,student_skill,gemini-3.1-pro,0,True,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.2,3.5,3.333,严重依赖相亲博主黑话模板（如‘上嫁’、‘软资产’），将一个追求体验的自由主义者误读为算计阶层跃升的人，导致性格解读严重偏差；虽准确抓住了‘自身变动性叠加爱折腾导致自我锁死’的结构性矛盾，但整体行文生搬硬套、冗长啰嗦。
鳌烨130,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.75,4.889,洞察密度高且精准，但反直觉凝练度略逊专家金句（如‘有趣且靠谱’），可用更一击即中的表达收束核心矛盾。
鳌烨132,student_skill,gpt-5.5,0,True,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.2,4.0,3.556,主要差距在于策略和对象画像偏离专家：忽视首付/房产硬资本优先级，并把专家建议的开朗主动或技术圈高产出女性，改成了同质求稳传统女。
鳌烨132,student_skill,gemini-3.1-pro,0,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.111,待评分析严重脱离输入事实（捏造男方要求女方高薪稳定），滥用黑话堆砌，且策略与专家建议完全相反。
鳌烨132,student_skill,deepseek-v4-pro,0,True,4.0,2.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,2.4,4.5,3.333,策略方向与目标画像完全偏离专家建议（专家主推主动互补型，待评判主张锁同质求稳女），市场估值过于悲观未点出绩优股正面价值。
鳌烨128,student_skill,gpt-5.5,0,True,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.8,4.0,3.333,主要差距是明显低估了其作为财富自由离异无孩男性的顶级买家价值，把专家认为的优势误判为硬折价，导致策略和目标画像整体偏保守、偏离参考方向。
鳌烨128,student_skill,gemini-3.1-pro,0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,严重生搬硬套模板，逻辑混乱且存在主客体错位（如女方防男方图钱），完全误判A8.5男性的绝对市场购买力。
鳌烨128,student_skill,deepseek-v4-pro,0,True,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,1.6,3.25,2.333,主要差距：将离异无孩误判为硬折价并大幅降低年龄学历要求，与专家视其为博弈优势并锁定年轻高知寒门贵女的核心策略完全相悖。
鳌烨140,student_skill,gpt-5.5,0,True,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,主要差距是把核心矛盾从“高硬件与压迫性婆媳/母亲干预”偏转为“人群错配”，策略上也未强调剥离家庭干预，并排除了专家提到的强势女性反向拿捏路径。
鳌烨140,student_skill,gemini-3.1-pro,0,True,2.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,3.6,2.75,3.222,待评分析套用模板痕迹重，遗漏了'极其压迫的婆媳预期'这一核心致命矛盾，且核心矛盾与策略推导间存在自相矛盾，缺乏深刻洞察。
鳌烨140,student_skill,deepseek-v4-pro,0,True,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.75,4.333,核心矛盾识别偏离（未点出婆媳预期压迫），策略方向缺少剥离家庭干预和强势女性选项。
鳌烨152,student_skill,gpt-5.5,0,True,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.2,4.25,4.222,整体方向高度贴近专家，优势在风险与渠道落地，但核心矛盾被改写成“保底/人群错配”，对“高舒适度与低情感吸引力”的主轴表达不够直接。
鳌烨152,student_skill,gemini-3.1-pro,0,True,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,大量堆砌且反向误用相亲黑话（如将缺乏吸引力错认为‘降低可得性’），行文晦涩啰嗦；目标画像强加了‘女方中产偏上’等与男方条件脱节的不合理限制。
鳌烨152,student_skill,deepseek-v4-pro,0,True,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,4.778,待评分析对“保底型”洞察深刻，但未直接点出专家所述“极高生活舒适度与极低情感吸引力”这一根本矛盾，而是用“人群错配”替代，精度稍欠。
鳌烨155,student_skill,gpt-5.5,0,True,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.2,4.25,4.222,整体方向高度贴合专家，尤其市场与策略判断准确；主要差距是性格解读加入“江湖气/焦虑”等推断较多，且遗漏了其对中式家庭安全感的深层需求。
